language	phrase	ngram_size	count
ko_kp	로동신문 로동신문	2	18
ko_kp	우리 당의	2	11
ko_kp	경애하는 총비서동지께서는	2	10
ko_kp	로동신문 2026년	2	9
ko_kp	로동신문 로동신문 로동신문	3	9
ko_kp	로동신문 로동신문 2026년	3	9
ko_kp	로동신문 로동신문 로동신문 2026년	4	9
ko_kp	경애하는 총비서동지의	2	8
ko_kp	대한 문제	2	8
ko_kp	경애하는 총비서동지께서	2	7
ko_kp	2026년 5월	2	6
ko_kp	5월 29일	2	6
ko_kp	29일 금요일	2	6
ko_kp	로동신문 2026년 5월	3	6
ko_kp	2026년 5월 29일	3	6
ko_kp	5월 29일 금요일	3	6
ko_kp	로동신문 로동신문 2026년 5월	4	6
ko_kp	로동신문 2026년 5월 29일	4	6
ko_kp	2026년 5월 29일 금요일	4	6
ko_kp	우리 당이	2	5
ko_kp	남포시 온천군	2	4
ko_kp	온천군 원읍로동자구지역에서	2	4
ko_kp	남포시 온천군 원읍로동자구지역에서	3	4
ko_kp	대한 당의	2	4
ko_kp	이와 함께	2	4
ko_kp	경애하는 김정은	2	4
ko_kp	평양시 ５만세대	2	4
ko_kp	화성지구 ２단계	2	4
ko_kp	준공 화성지구	2	4
ko_kp	하여야 한다	2	4
ko_kp	우리 인민이	2	3
ko_kp	문명한 생활을	2	3
ko_kp	김정은 동지께서는	2	3
ko_kp	동지께서는 다음과	2	3
ko_kp	다음과 같이	2	3
ko_kp	같이 말씀하시였다	2	3
ko_kp	경애하는 김정은 동지께서는	3	3
ko_kp	김정은 동지께서는 다음과	3	3
ko_kp	동지께서는 다음과 같이	3	3
ko_kp	다음과 같이 말씀하시였다	3	3
ko_kp	경애하는 김정은 동지께서는 다음과	4	3
ko_kp	김정은 동지께서는 다음과 같이	4	3
ko_kp	동지께서는 다음과 같이 말씀하시였다	4	3
ko_kp	새시대 농촌혁명강령은	2	3
ko_kp	농촌문제를 종국적으로	2	3
ko_kp	우리식 사회주의농촌발전의	2	3
ko_kp	농촌의 면모와	2	3
ko_kp	면모와 환경을	2	3
ko_kp	농촌의 면모와 환경을	3	3
ko_kp	당중앙위원회 제８기	2	3
ko_kp	인민에 대한	2	3
ko_kp	금요일 1면	2	3
ko_kp	29일 금요일 1면	3	3
ko_kp	5월 29일 금요일 1면	4	3
ko_kp	높일수 있는	2	3
ko_kp	위대한 당중앙의	2	3
ko_kp	２０２１년 ３월	2	3
ko_kp	３월 ２３일	2	3
ko_kp	２０２１년 ３월 ２３일	3	3
ko_kp	４단계 １만세대	2	3
ko_kp	초고층 고층살림집들과	2	3
ko_kp	화성지구 １단계	2	3
ko_kp	옹근 하나의	2	3
ko_kp	１６일 준공	2	3
ko_kp	당의 인민대중제일주의건축리념은	2	3
ko_kp	우리 당의 인민대중제일주의건축리념은	3	3
ko_kp	새시대 지방발전정책의	2	3
ko_kp	제품의 가지수를	2	3
ko_kp	해당 단위의	2	3
ko_kp	2026년 4월	2	2
ko_kp	원읍로동자구지역에서 청동기시대와	2	2
ko_kp	청동기시대와 신석기시대의	2	2
ko_kp	로동신문 2026년 4월	3	2
ko_kp	온천군 원읍로동자구지역에서 청동기시대와	3	2
ko_kp	원읍로동자구지역에서 청동기시대와 신석기시대의	3	2
ko_kp	로동신문 로동신문 2026년 4월	4	2
ko_kp	남포시 온천군 원읍로동자구지역에서 청동기시대와	4	2
ko_kp	온천군 원읍로동자구지역에서 청동기시대와 신석기시대의	4	2
ko_kp	신석기시대 ５００년전	2	2
ko_kp	웃문화층에서는 소금물을	2	2
ko_kp	청동기시대의 팽이그릇쪼각들이	2	2
