name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,carbs ratio:,fats ratio:,protein ratio:,GLYCEMIC_LOAD:,Completeness Score:,Amino Acid Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Calories From Alcohol:,Dietary Fiber:,Starch:,Sugars:,Sucrose:,Glucose:,Fructose:,Lactose:,Maltose:,Galactose:,Total Fat:,Saturated Fat:,4:00,6:00,8:00,10:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,22:00,24:00:00,Monounsaturated Fat:,14:01,15:01,16:1 undifferentiated:,16:1 c:,16:1 t:,17:01,18:1 undifferentiated:,18:1 c:,18:1 t:,20:01,22:1 undifferentiated:,22:1 c:,22:1 t:,24:1 c:,Polyunsaturated Fat:,16:2 undifferentiated:,18:2 undifferentiated:,"18:2 n-6 c,c:","18:2 c,t:","18:2 t,c:","18:2 t,t:",18:2 i:,18:2 t not further defined:,18:03,"18:3 n-3, c,c,c:","18:3 n-6, c,c,c:",18:4 undifferentiated:,"20:2 n-6 c,c:",20:3 undifferentiated:,20:3 n-3:,20:3 n-6:,20:4 undifferentiated:,20:4 n-3:,20:4 n-6:,20:5 n-3:,22:02,22:5 n-3:,22:6 n-3:,Total trans fatty acids:,Total trans-monoenoic fatty acids:,Total trans-polyenoic fatty acids:,Total Omega-3 fatty acids:,Total Omega-6 fatty acids:,Protein:,Tryptophan:,Threonine:,Isoleucine:,Leucine:,Lysine:,Methionine:,Cystine:,Phenylalanine:,Tyrosine:,Valine:,Arginine:,Histidine:,Alanine:,Aspartic acid:,Glutamic acid:,Glycine:,Proline:,Serine:,Hydroxyproline:,Vitamin A:,Retinol:,Retinol Activity Equivalent:,Alpha Carotene:,Beta Carotene:,Beta Cryptoxanthin:,Lycopene:,Lutein+Zeaxanthin:,Vitamin C:,Vitamin D:,Vitamin E (Alpha Tocopherol):,Beta Tocopherol:,Gamma Tocopherol:,Delta Tocopherol:,Vitamin K:,Thiamin:,Riboflavin:,Niacin:,Vitamin B6:,Folate:,Food Folate:,Folic Acid:,Dietary Folate Equivalents:,Vitamin B12:,Pantothenic Acid:,Choline:,Betaine:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Copper:,Manganese:,Selenium:,Fluoride:,Cholesterol:,Phytosterols:,Campesterol:,Stigmasterol:,Beta-sitosterol:,Alcohol:,Water:,Ash:,Caffeine:,Theobromine:,tag
Lotus root. raw,2.9,4.6,46.31118891,55.01251413,36.84441701,89%,1%,10%,6.027768053,63,48,73.98957,65.9304,0.8370917,7.228767,,4.9003673,,,,,,,,,0.10000421,0.029999979,,,,,,,0,,27.999046,,1.0000149,,,,,0.02000271,,,1.9998937,,,,13.997976,,,1.9998937,,,,,0.02000271,,13.997976,,,,,,,5.9997916,,,,,,,,,,,,,,,,,,5.9997916,13.997976,2.600379,20.001848,51.005302,54.006813,69.007515,93.995415,21.99718,21.99718,46.99369,28.996819,55.004826,88.00489,38.0033,54.006813,368.98096,139.00528,155.9968,136.00175,60.007927,,0,0,0,0,0,0,0,0,43.998653,,,,,,,0.1599787,0.21996589,0.399974,0.25796625,13.000965,13.000965,0,13.000965,0,0.37696046,,,44.999252,1.1601655,23.001692,100.00745,555.92865,39.99484,0.39005193,0.2569699,0.26097843,0.70000964,,0,,,,,0,79.10227,0.96992815,0,0,0
Balsam-pear (bitter gourd). leafy tips. raw,4.6,5,67.2,60,16.8,38%,19%,43%,3.08338157,75,,30.00122,11.294453,5.7747297,12.930155,,,,,,,,,,,0.6899491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2999988,,,,,,,,,,,,,,,,,,,,1733.9011,0,86.99301,,,,,,88.00489,,,,,,,0.18099575,0.3619678,1.110172,0.8030717,127.990265,127.990265,0,127.990265,0,0.06300816,,,83.99968,2.040144,85.004036,98.98468,608.0544,11.000802,0.29997736,0.20102353,0.5359462,0.89990973,,0,,,,,0,89.25762,1.4698672,,,0
Balsam-pear (bitter gourd). pods. raw,4.5,5,66,60,18,78%,8%,14%,0.900709629,85,,17.000992,13.139528,1.4229114,2.4400725,,2.799857,,,,,,,,,0.17000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000149,,,,,,,,,,,,,,,,,,,,471.0118,0,23.998045,185.0103,190.00949,,,170.02179,83.99968,,,,,,,0.03999539,0.03999539,0.399974,0.042997424,71.9966,71.9966,0,71.9966,0,0.21202035,,,18.999727,0.43002847,17.000992,31.00055,296.00555,5.0005703,0.7999781,0.034002267,0.08900268,0.19998784,,0,,,,,0,94.02561,1.0998687,,,0
Purslane. cooked. boiled. drained. without salt,4.5,5,66,60,18,71%,9%,20%,2.28933393,75,64,18.00149,12.7773695,1.590305,3.6357422,,,,,,,,,,,0.18997993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4898463,15.999458,49.999485,52.992855,90.99468,65.00506,13.997976,9.999676,57.998978,23.998045,71.9966,57.00155,23.001692,57.00155,76.996315,218.99742,45.993046,69.98983,44.999252,,1851.9271,0,93.00425,,,,,,10.500102,,,,,,,0.031001687,0.08999106,0.4599603,0.07000633,8.999572,8.999572,0,8.999572,0,0.036002528,,,77.992065,0.7699371,66.99792,37.003403,487.9529,43.998653,0.17000008,0.11400097,0.30701974,0.89990973,,0,,,,,0,93.513535,1.2500091,,,0
Purslane. cooked. boiled. drained. with salt,4.5,4.9,65.96002458,59.30623994,17.99554367,71%,9%,20%,2.28933393,75,64,18.00149,12.7773695,1.590305,3.6357422,,,,,,,,,,,0.18997993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4898463,15.999458,49.999485,52.992855,90.99468,65.00506,13.997976,9.999676,57.998978,23.998045,71.9966,57.00155,23.001692,57.00155,76.996315,218.99742,45.993046,69.98983,44.999252,,1851.9271,0,93.00425,,,,,,10.500102,,,,,,,0.031001687,0.08999106,0.4599603,0.07000633,8.999572,8.999572,0,8.999572,0,0.036002528,,,77.992065,0.7699371,66.99792,37.003403,487.9529,280.0042,0.17000008,0.11400097,0.30701974,0.89990973,,0,,,,,0,93.513535,1.2500091,,,0
Purslane. raw,4.5,5,66,60,18,75%,5%,20%,2.078984372,75,65,15.999458,11.98992,0.8370917,3.17164,,,,,,,,,,,0.10000421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3000101,13.997976,43.998653,46.99369,79.99666,57.00155,12.00148,8.999572,51.005302,21.002775,62.99049,49.999485,20.001848,49.999485,67.99529,190.9886,39.99484,60.999146,39.005146,,1320.0194,0,65.993965,,,,,,21.002775,,,,,,,0.04699925,0.111986995,0.47992665,0.073010586,12.00148,12.00148,0,12.00148,0,0.036002528,12.802023,,65.00506,1.9902755,67.99529,43.998653,493.9458,44.999252,0.17000008,0.11300784,0.30298954,0.89990973,,0,,,,,0,93.93504,1.2500091,,,0
Fish. herring eggs on giant kelp. Pacific (Alaska Native),3.5,3.8,49.21555905,46.03107917,27.73793103,17%,11%,72%,2.60037899,36,,62.99049,10.584774,7.2009516,45.202087,,,,,,,,,,,0.7999781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.301712,,,,,,,,,,,,,,,,,,,,88.99994,,,,,,,,,,,,,,,0.10000421,0.12997942,2.7000108,,,,,,,,,,160.98587,3.3995953,,,,60.999146,,,,,,,,,,,0,81.78961,3.5004694,,,0
Seaweed. kelp. raw,3.7,4.6,55.64227136,55.079097,27.32813764,79%,11%,10%,3.78136768,80,79,43.006485,34.224712,4.6863284,4.099995,0,1.3000101,,0.6000336,,,,,,,0.5599241,0.24697581,0,0,0,0,0,,31.00055,,109.983536,,85.992775,,,,,0.09801246,,,3.9998012,,,,85.992775,,,0,0,,,,0.04699925,,20.001848,,,,,,,3.9998012,,,3.9998012,,,,,12.00148,,,3.9998012,,0,0,,,,7.9986305,20.001848,1.6801622,48.000683,55.004826,75.98887,83.00719,82.00008,24.997374,98.00385,43.006485,25.996523,71.9966,65.00506,23.998045,122.008415,124.98363,268.03476,100.00745,72.99801,98.00385,,116.00763,0,5.9997916,0,69.98983,0,0,0,3.0001352,,0.8700293,,,,65.993965,0.050003715,0.15001008,0.4699889,0.002000019,180.02693,180.02693,0,180.02693,0,0.6419776,12.802023,,168.01292,2.8497818,120.99363,41.996197,88.99994,233.00462,1.2300763,0.12997942,0.19998784,0.70000964,,0,,,,,0,81.57969,6.6089935,0,0,0
Seaweed. agar. dried,1.9,4.1,33.41464768,49.75356582,47.00341196,94%,1%,5%,43.46368622,59,,305.96335,288.31018,2.5108693,15.149108,0,7.7010756,,2.9703975,,,,,,,0.29997736,0.061004594,0,0,0,0,0,,3.0001352,,55.004826,,3.0001352,,,,,0.026998628,,,8.999572,,,,8.999572,,,8.999572,0,,,,0.10200293,,3.9998012,,,,,,,1.0000149,,,0,,,,,9.999676,,,86.99301,,0,0,,,,88.00489,3.9998012,6.209636,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,5.0005703,,,,24.402296,0.010001244,0.22203398,0.20199934,0.30298954,580.00854,580.00854,0,580.00854,0,3.0175385,63.294746,,625.08673,21.397776,769.98517,51.997932,1124.8751,101.986465,5.800763,0.6099614,4.299676,7.400309,,0,,,,,0,8.678715,3.9297364,0,0,0
Seaweed. agar. raw,4.5,4.1,59.85442608,49.43993533,16.97714142,94%,1%,5%,1.619218172,58,,25.996523,24.425825,0.25107184,1.3172585,0,0.49995255,,0.27998212,,,,,,,0.029999979,0.006000858,0,0,0,0,0,,0,,5.0005703,,0,,,,,0.003000598,,,1.0000149,,,,1.0000149,,,1.0000149,0,,,,0.010001244,,0,,,,,,,0,,,0,,,,,1.0000149,,,8.001201,,0,0,0,0,0,8.001201,,0.539928,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0.8700293,,,,2.2999694,0.005000487,0.022001525,0.05500144,0.032003943,85.004036,85.004036,0,85.004036,0,0.3020146,5.9997916,,54.006813,1.8597789,66.99792,5.0005703,226.00134,8.999572,0.5799125,0.061004594,0.37297496,0.70000964,,0,,,,,0,91.31679,1.3598557,0,0,0
